Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,M,45.6667,4.0833,57.67,74,0,1.72,FR,clear sky
1,R,-23.1203,-134.9692,73.99,68,100,16.82,PF,overcast clouds
2,H,-42.8794,147.3294,53.46,64,40,12.66,AU,scattered clouds
3,U,-54.8,-68.3,40.66,81,75,23.02,AR,light rain
4,J,42.097,-79.2353,72.99,73,100,8.05,US,overcast clouds
5,D,-45.8742,170.5036,45.81,91,100,8.99,NZ,moderate rain
6,P,-21.35,165.15,75.09,62,100,7.61,NC,overcast clouds
7,S,-10.6167,150.6667,78.85,84,82,11.5,PG,broken clouds
8,B,-34.5322,20.0403,48.07,92,0,5.61,ZA,clear sky
9,M,-20.7333,139.5,73.17,25,10,13.8,AU,clear sky
10,A,34.5217,50.0019,74.93,41,36,5.7,IR,scattered clouds
11,U,72.7868,-56.1549,40.28,84,100,1.92,GL,overcast clouds
12,N,31.4222,34.5886,73.81,74,0,2.71,IL,clear sky
13,T,-46.1333,167.6833,44.71,94,100,2.73,NZ,light rain
14,P,-53.15,-70.9167,39.31,75,20,34.52,CL,few clouds
15,A,-9.8,-139.0333,77.47,73,27,23.67,PF,light rain
16,P,44.8833,7.35,74.44,70,63,2.75,IT,broken clouds
17,B,3.0707,172.7902,82.09,77,8,13.44,KI,clear sky
18,I,-19.55,169.2667,77.79,81,100,11.5,VU,moderate rain
19,I,63.7506,-68.5145,51.53,66,75,3.44,CA,broken clouds
20,O,68.0531,39.5131,61.32,82,51,15.86,RU,broken clouds
21,K,22.0752,-159.319,85.98,69,20,17.27,US,few clouds
22,K,14.2,24.6667,73.04,63,89,5.61,SD,overcast clouds
23,L,-9.7667,37.9333,58.75,83,13,3.89,TZ,few clouds
24,C,-35.3333,-72.4167,48.24,76,6,4.7,CL,clear sky
25,B,-46.6,168.3333,47.8,86,100,12.1,NZ,overcast clouds
26,L,30.1897,-82.6393,78.62,83,0,5.75,US,clear sky
27,F,18.3851,42.4509,64.51,63,100,4.72,SA,overcast clouds
28,P,-33.5906,26.891,64.04,80,86,19.44,ZA,overcast clouds
29,P,-0.7393,-90.3518,69.55,94,98,4.0,EC,overcast clouds
30,Q,60.7167,-46.0333,41.97,87,14,2.86,GL,few clouds
31,P,37.7333,-25.6667,74.12,88,75,3.44,PT,broken clouds
32,A,42.6001,-73.9662,70.45,76,92,2.1,US,overcast clouds
33,A,-21.2078,-159.775,77.05,69,37,14.97,CK,scattered clouds
34,S,54.4299,31.8996,59.79,97,99,5.12,RU,overcast clouds
35,L,-37.6167,-73.65,48.76,84,23,5.41,CL,few clouds
36,M,51.3813,1.3862,63.9,75,100,4.0,GB,overcast clouds
37,A,32.7357,-97.1081,97.11,36,0,12.66,US,clear sky
38,B,33.3406,44.4009,84.11,23,0,8.05,IQ,clear sky
39,P,-20.2333,164.0167,73.69,67,100,13.11,NC,overcast clouds
40,B,13.2167,-59.5167,81.21,85,20,20.71,BB,few clouds
41,H,37.4636,-122.4286,73.8,85,100,24.16,US,mist
42,T,57.8,158.6667,57.24,89,100,3.0,RU,light rain
43,K,71.9667,102.5,71.17,46,92,3.42,RU,overcast clouds
44,U,5.6667,73.0,82.09,74,99,14.29,MV,overcast clouds
45,T,57.3064,88.1667,70.41,53,51,3.58,RU,broken clouds
46,P,44.578,34.3446,72.91,62,0,4.38,UA,clear sky
47,T,65.6145,-37.6368,42.96,96,90,6.76,GL,overcast clouds
48,W,52.3342,-6.4575,53.89,86,14,5.99,IE,few clouds
49,I,69.2167,-51.1,44.62,93,75,5.75,GL,broken clouds
50,F,49.7579,0.3746,65.28,51,94,13.0,FR,overcast clouds
51,Q,-17.8786,36.8883,62.55,100,0,3.44,MZ,clear sky
52,C,-33.9258,18.4232,60.39,78,0,1.14,ZA,clear sky
53,K,-34.6833,150.8667,69.26,52,11,8.01,AU,few clouds
54,H,64.2539,-15.2082,53.33,99,100,21.34,IS,overcast clouds
55,Q,77.484,-69.3632,36.99,92,43,1.5,GL,scattered clouds
56,S,37.1041,-113.5841,73.63,78,20,11.5,US,light rain
57,P,69.7008,170.3133,35.96,87,96,5.32,RU,overcast clouds
